Date,1 m,2 m,3 m,4 m,5 m,6 m,7 m,8 m,9 m,10 m,11 m,12 m,13 m,14 m,15 m,16 m,17 m,18 m,19 m,20 m,21 m,22 m,23 m,24 m,25 m,26 m,27 m,28 m,29 m,30 m,31 m,32 m,33 m,34 m,35 m,36 m,37 m,38 m,39 m,40 m,41 m,42 m,43 m,44 m,45 m,46 m,47 m,48 m,49 m,50 m,51 m,52 m,53 m,54 m,55 m,56 m,57 m,58 m,59 m,60 m,61 m,62 m,63 m,64 m,65 m,66 m,67 m,68 m,69 m,70 m,71 m,72 m,73 m,74 m,75 m,76 m,77 m,78 m,79 m,80 m,81 m,82 m,83 m,84 m,85 m,86 m,87 m,88 m,89 m,90 m,91 m,92 m,93 m,94 m,95 m,96 m,97 m,98 m,99 m,100 m,101 m,102 m,103 m,104 m,105 m,106 m,107 m,108 m,109 m,110 m,111 m,112 m,113 m,114 m,115 m,116 m,117 m,118 m,119 m,120 m
2005-01-03,2.0002763170136801,2.12265352776225,2.2389279154764701,2.3440242202967698,2.4333894808340699,2.5051499270048199,2.5616289989632399,2.6079330157245,2.6487215025685198,2.6865647833375901,2.72249210684177,2.75691240516975,2.7899746242890502,2.82175835384662,2.8524795193296302,2.8823724500288201,2.9113190279866799,2.9387575399397798,2.9640204027222699,2.9866893779874202,3.0067713697283698,3.0248175029630202,3.0418371288831798,3.0587830754151599,3.0760803686854001,3.09370342933398,3.1114763858946302,3.1291977506543698,3.1466171837730998,3.1634613899751498,3.1795700369796198,3.1949833646372499,3.2098806301471998,3.2244837487926299,3.2390389059137701,3.2538507257833702,3.2692618665463602,3.2855053067228401,3.3025596904443,3.32020023326172,3.3381621223469602,3.3562267086426298,3.3742087671107099,3.3919140933688201,3.4091162545541001,3.4255819234770701,3.44114894064337,3.4558079415454599,3.4697322071261198,3.48325826334447,3.4968453807028301,3.5109972092446098,3.5260956444547702,3.5421937712471698,3.5589646784606401,3.57591309140571,3.5926645535040498,3.6090813651779499,3.62518304951714,3.6410242878384098,3.6566393449719801,3.6720435014289801,3.68724340755446,3.7022409982699802,3.7170357273430299,3.7316251371362599,3.7460039877592202,3.7601643056303602,3.7740969119705601,3.78779332650458,3.8012470549849402,3.8144540444664199,3.82741260122397,3.8401231598843002,3.8525881572270202,3.8648120836691602,3.8768016499071298,3.88856593969235,3.9001164158810901,3.9114666883912999,3.92263201958,3.9336286152337299,3.9444728099961002,3.9551802907384501,3.9657655033443899,3.97624136015305,3.9866193175452,3.9969098398382998,4.0071232179768703,4.01727067380319,4.0273656503077104,4.0374251587959096,4.04747101992377,4.0575307967559402,4.0676381821250898,4.0778325867702003,4.0881577048175304,4.0986589385360199,4.1093797650869099,4.1203574133845402,4.13161852476955,4.1431756762896601,4.1550256142518096,4.1671497109268296,4.17951659523629,4.1920863331316101,4.2048151860324898,4.2176599794666201,4.2305814107723201,4.2435460349543996,4.25652701283399,4.2695038947641697,4.2824617531651201,4.29538992899802,4.3082805867175296,4.3211272209374698,4.3339232381697101,4.3466607388015799,4.3593296280890801,4.3719171713426004
2005-01-04,2.0479537599639399,2.16672849437286,2.2799508168159401,2.3832718606353498,2.4728105281816402,2.5470159175817502,2.60792010998719,2.6598638269957702,2.7067372268269301,2.7506246461234301,2.7923102916044198,2.8320781161711999,2.8699862443254802,2.9059742516640998,2.9400737751419199,2.97247563305549,3.0033664768773201,3.0327593535131299,3.0604633617448598,3.08613866635703,3.1094321596326702,3.1303063817404402,3.14937902843347,3.1676895730817498,3.1859926512931498,3.20445809400085,3.2228973087741601,3.2409899599434699,3.25834751705173,3.2746562160991499,3.2899394748924302,3.30457432261435,3.31900464296135,3.3335436296707299,3.3483917391636999,3.3636899418757098,3.3795124286511702,3.3958403253009699,3.4125799884779,3.4296111246215299,3.44680658629744,3.4640192267966601,3.4810667362694701,3.4977419759562198,3.5138590357541002,3.5292976388148798,3.54400082415227,3.55796175605732,3.5712528717651399,3.5840766095410799,3.5967936315458502,3.6098868214945998,3.6238061508672299,3.63872844448011,3.6544413618698299,3.6705080596486002,3.6865571875277401,3.7024259324743398,3.71809697897839,3.7335689140926802,3.7487925663712902,3.76370367694006,3.7782868106624501,3.79258346808126,3.8066497589455901,3.82052388316961,3.8342208319148399,3.8477395222191801,3.8610708428892999,3.8742032688871002,3.88712605771694,3.8998307696491099,3.9123118218051101,3.9245665867006299,3.9365953382846,3.9484011791180502,3.9599899634990199,3.9713701653004301,3.9825526223767702,3.9935501114257002,4.0043767527999803,4.01504729650014,4.0255763823506197,4.0359778878025203,4.0462644719317504,4.0564473980641003,4.06653667981697,4.0765415569752896,4.0864712755351604,4.0963361212792799,4.1061486338172699,4.1159249013263501,4.1256858000778696,4.1354579970167098,4.1452744854751096,4.1551743902625002,4.1652017855684704,4.1754033506350803,4.1858248721278404,4.1965068886869403,4.20748010703291,4.2187614794985997,4.2303518691592599,4.2422359457813199,4.2543844030758802,4.2667579705065704,4.2793122690526202,4.2920024870246598,4.3047871016034502,4.3176302762832304,4.3305029363368197,4.3433827542043799,4.3562533542484703,4.3691030238913298,4.3819231603789204,4.3947066340597498,4.4074462260197,4.4201332931445396,4.4327568088373601,4.4453029045765202
2005-01-05,2.0348410868352702,2.1566272953774899,2.27248684258609,2.37799393152926,2.4692099351187302,2.5445826119674,2.6062035689104199,2.65851255482912,2.7055474371689701,2.7495964373964101,2.7916342895063799,2.8320295066109402,2.8708388628146202,2.90799753587953,2.94346981632986,2.9771629628937202,3.0088190561346,3.03817960355991,3.0652166320739398,3.0901364672440499,3.11327873456663,3.1350954707798202,3.1561129825260501,3.1767378130186401,3.1970913223113402,3.2170648826759898,3.2364433411037798,3.2549426444210301,3.2722441198299599,3.28816708819424,3.3028666003050402,3.3167781149367999,3.3303587627186699,3.3439360162495202,3.35773449807128,3.3719251386736699,3.3866103089769899,3.40179975541654,3.4174510332292498,3.4335254846159802,3.4499813659996699,3.4667273910732401,3.4835867309402002,3.5002966240029401,3.5165661843301201,3.5321745009336998,3.54703095600855,3.5611673084062399,3.57471596934964,3.5879103549551199,3.6010906352682301,3.6146667784065998,3.6289802491861001,3.6440989066125802,3.65973816869215,3.67543911024271,3.6908420828400001,3.70580257547681,3.7203226024052798,3.73446234536683,3.7483309021196098,3.7620807876211,3.7758307303979102,3.7896054171982501,3.8033650675167499,3.81705968482833,3.8306521447675799,3.8441175363195201,3.8574374391729398,3.8705963172416,3.8835802060173701,3.8963764784154602,3.9089739336660601,3.9213629730783399,3.9335358531876601,3.9454870341842398,3.9572135932736399,3.9687156189406201,3.9799964729527,3.9910628120895,4.00192430040227,4.01259300705473,4.0230825593267703,4.03340718571698,4.0435808221896501,4.0536164555143204,4.0635258432243404,4.0733196918052004,4.08300830858796,4.0926026800759701,4.1021158742449702,4.1115646144033002,4.1209708230176698,4.1303628842817703,4.13977633079885,4.1492536400567701,4.1588428588081703,4.1685948919705602,4.1785595218342397,4.1887805528856896,4.19929083512723,4.2101081662268296,4.2212330531285698,4.2326489468566599,4.2443249339270501,4.2562202152012096,4.2682893008777896,4.2804868402567902,4.29277132533268,4.3051073601298997,4.3174665739008304,4.3298274727164001,4.3421745748828,4.35449712597587,4.3667876105973598,4.3790402167686402,4.3912493802762702,4.4034085318459697,4.4155091702234399,4.4275403699060698
2005-01-06,2.0216368924088299,2.14761358849869,2.2663228251499201,2.37324279820995,2.46433490060932,2.53803422076136,2.5966652874713101,2.64522365399587,2.68840834388131,2.7289467879100799,2.7679346452992899,2.8056852841700599,2.84218922761479,2.8773376778638098,2.9110407875340001,2.9431665337044399,2.9734870578858601,3.00183426813122,3.0282641129917298,3.0530160380732001,3.0763880958077099,3.0986624888093499,3.1200508598940102,3.1406437001504202,3.1604309070743102,3.17936645366238,3.1973841075134199,3.2143870221978599,3.2303139655130599,3.2452732342996602,3.2595722355856802,3.2735794986995002,3.2875894889580901,3.3018143289829802,3.3164443528013301,3.3316810997004702,3.34769034299284,3.3644994361794902,3.3819626144041801,3.3998448889645498,3.4179104179978701,3.4359369631365899,3.4536923263931198,3.4709344202372798,3.4874634662572999,3.50318671333816,3.5181252110919701,3.5323744849079,3.5460877008034699,3.5594936217225102,3.5729139673146499,3.5867317847464899,3.6012616826138699,3.6165627681045298,3.6323744551897601,3.64828443487924,3.6639741694845198,3.6793193722745601,3.6943274014368499,3.7090518791332499,3.7235682536858699,3.7379641451468202,3.7522975420689799,3.7665716230526298,3.7807574596624902,3.79482342203233,3.8087450244930001,3.82250323235573,3.83608167909901,3.8494656489574699,3.8626421589371001,3.87560025099976,3.8883311620865499,3.9008284016199202,3.9130878528998001,3.9251079613767401,3.9368899871399199,3.9484382338694299,3.9597601404253302,3.9708661356573698,3.98176920471324,3.9924841830909399,4.0030268655240198,4.0134130717147896,4.0236578350888701,4.0337748686393704,4.0437764193682799,4.0536735635961501,4.0634769343876602,4.0731978191442,4.0828495218115899,4.0924488459059498,4.1020175159940298,4.1115833142483504,4.1211806707120404,4.1308504266352903,4.1406385159117498,4.1505934125929196,4.1607623978889103,4.1711870020559996,4.1818983115101096,4.1929130719955099,4.20423151527896,4.2158375079262704,4.2277010366755396,4.2397824270757196,4.2520372978534402,4.2644212231054803,4.2768933588373104,4.2894187092868501,4.3019690754583104,4.3145229430586003,4.3270646290308798,4.3395829726040702,4.35206979352931,4.3645182899470401,4.3769215248673801,4.3892711451540496,4.40155647152136,4.4137640747592402
2005-01-07,2.0549227917884201,2.1824463056115402,2.3018710407744498,2.4090913858949699,2.50043281678286,2.5744969430591902,2.6335257644363099,2.6823308155201602,2.7255153707477802,2.76585420906031,2.8045617086480998,2.8420404778810302,2.8783166481330702,2.91332268278319,2.9470454049460599,2.97941673021286,3.0101985578920498,3.03912104508662,3.06607298390223,3.0911016658945401,3.1143449302035502,3.1360570172428202,3.1566286467434801,3.1764381036653799,3.1956793357452402,3.2143703667174002,3.2324366670579399,3.2497474013481802,3.2661568718769902,3.2816034373782399,3.2961908352506,3.3101643219354902,3.3238162095630002,3.3374244971655198,3.3512670369955901,3.36564940079352,3.3808475310613,3.39696359476627,3.4138602891581802,3.4312627672512002,3.4488853220694899,3.4664682417425698,3.4837614107790298,3.5005296699881301,3.5166100444794801,3.5319681651438701,3.5466789435013801,3.5608636599474401,3.5746681848527899,3.5882869214714002,3.6019845355056201,3.61606572804294,3.6307533341090199,3.6460242255057902,3.6615741630010299,3.6769972075125699,3.6920140967199502,3.7065418477140999,3.72061298637658,3.7343016567137499,3.7477281671154601,3.7610523507879101,3.7743915944194399,3.7877651074177199,3.8011295687127,3.8144340556021499,3.8276417295367602,3.84072837882607,3.85367646105008,3.8664713897239502,3.8791001083913002,3.8915507557929301,3.9038126981960701,3.91587669881894,3.9277352011024398,3.9393827226333702,3.9508163098122799,3.9620359558173401,3.9730448632259101,3.98384944587781,3.9944590101743498,4.0048851242254804,4.0151407576290499,4.0252393354944402,4.0351938809247603,4.0450164132679802,4.0547177297299104,4.0643076389074198,4.07379565164812,4.0831920775049397,4.0925094261034403,4.1017639679407596,4.1109772629369896,4.1201774157099802,4.1293997705287904,4.1386867338676101,4.1480864376043103,4.15765006686871,4.1674279006862296,4.1774644434962198,4.1877933905912599,4.1984334309562303,4.2093858854594304,4.22063482135552,4.2321496555239202,4.2438895992666703,4.2558088817998598,4.2678616635404802,4.28000585700907,4.2922055183940202,4.3044318589953603,4.31666314860614,4.3288838439165396,4.3410832363850496,4.3532538453503102,4.3653897291156598,4.3774848639524304,4.3895317395358804,4.4015203192019996,4.4134374951915296
2005-01-10,2.04700789969535,2.1775903232260001,2.2996167604968898,2.4090884249936102,2.50253245627693,2.5788297215563798,2.6404048993282299,2.6919776638842001,2.7378728858616301,2.78063805974167,2.8214075575880999,2.8605831410234002,2.8981821672171102,2.9341038634615502,2.9683142806702101,3.0007870627676998,3.03141530141201,3.0600976400031401,3.0868191463935499,3.1115927908563101,3.13442500421431,3.1554462298759098,3.17505059530844,3.1937575931492299,3.2119276991305901,3.2296872466825199,3.2470221761417499,3.2638537409980701,3.28008118762643,3.2956377782362498,3.31054699904033,3.3249350739983501,3.3389921543579502,3.3529323491494001,3.3670005839071102,3.3814959385018799,3.39671918824284,3.4128230201638399,3.4297216719288501,3.4471705319048098,3.4648905017025902,3.4826140974898299,3.50007707137754,3.5170280525144699,3.53328535483011,3.5487883989630702,3.56357966196662,3.5777554991951401,3.5914571431463398,3.6048968171578601,3.6183746728146602,3.6322374744675501,3.6467375843647098,3.6618544305849801,3.6772676149244998,3.6925589080370198,3.7074515161381498,3.72187211439504,3.7358571860598602,3.7494697874199701,3.76280044136442,3.7759711826743398,3.7890785362843,3.8021494264909901,3.8151629107068099,3.82808821905315,3.8409011013590102,3.8535843410901398,3.8661248219486102,3.8785116770962502,3.89073559499837,3.9027885884239901,3.91466387964799,3.9263558632111102,3.9378601976919998,3.9491740443243701,3.96029640606878,3.9712284720337601,3.9819738542979,3.9925386187121901,4.0029310533893296,4.01316117885934,4.0232400683872802,4.0331790995596997,4.0429892853156497,4.0526808280975102,4.0622630083677498,4.07174446908353,4.0811339028412696,4.0904410961741604,4.0996782375110996,4.1088613486198202,4.1180116505745197,4.1271566252796203,4.1363304913418899,4.1455737980176304,4.1549318822111401,4.1644520633867401,4.1741796890591498,4.1841534697154898,4.1944008744999604,4.2049345569730496,4.2157506997248797,4.2268297562292103,4.2381394413071298,4.2496392267012304,4.2612852834783501,4.2730348772843003,4.28484957255169,4.2966970369980704,4.3085515806101302,4.3203937374023198,4.3322092244045098,4.3439875581218104,4.3557205389455396,4.3674007657097498,4.379020322803,4.39056977772871,4.4020376170450204,4.4134102161175797
2005-01-11,2.0251191470159999,2.16221538334718,2.2892396114673499,2.40201283242564,2.4971062271625399,2.57381034602607,2.6352069194199901,2.6865535266370899,2.7323726241009001,2.7751817022496801,2.8160578505949898,2.8553921516538199,2.8932206537102201,2.9294833903931101,2.9642020237639,2.9973616357138799,3.0287640606314099,3.0581486235710398,3.0853623808786601,3.11034278175083,3.1330823733248501,3.1537740683622699,3.1729520774681199,3.19127645274938,3.20916263432495,3.2267094094948399,3.2438435951523701,3.2604239510708499,3.2762986424126601,3.2914043370659898,3.3058486078976199,3.3198597676955099,3.3336676108246102,3.3474542230102502,3.3613798177202301,3.37560645767062,3.39026322769943,3.4053680702112299,3.42080776013437,3.4364152459550601,3.45205099034589,3.4676241472712501,3.4830771989039202,3.4983673751738502,3.5134496734551699,3.5282625863074801,3.54273827800397,3.55684585956101,3.5706357442708199,3.5842562928404802,3.5979392731004398,3.6119397413049001,3.6264118423798002,3.6412842588344501,3.65627590337207,3.6710738293750498,3.6855034332006902,3.6995487680197301,3.71326825774084,3.7267299630498698,3.7400047898013402,3.7531621422949999,3.7662409429189201,3.7792394532607401,3.7921362794106201,3.8049096723396598,3.8175423023994099,3.8300196933598301,3.8423288611094399,3.8544582277299901,3.8663980304088001,3.8781406355713401,3.8896806389691401,3.9010148550341599,3.9121423105378801,3.9230642861644101,3.9337843762436799,3.9443084950911702,3.95464475453395,3.96480316440074,3.97479515332041,3.9846329566540901,3.99432895841796,4.0038950950584802,4.0133424274065801,4.0226809662375498,4.0319198044929498,4.0410675740151296,4.0501332120056297,4.0591269926074096,4.06806174805154,4.0769541664771101,4.0858260070234804,4.0947050200656898,4.1036253128483899,4.11262687951207,4.12175404980814,4.13105273522266,4.1405665834702896,4.15033247169763,4.1603760923079598,4.1707085732498204,4.1813249867218403,4.1922051908368099,4.2033168347497698,4.2146197854304601,4.2260709428855101,4.2376284892491602,4.2492549675283202,4.2609190096757796,4.2725958601947198,4.2842670003669401,4.2959191931038596,4.3075432067745396,4.3191324018333104,4.3306813131335504,4.3421843411166101,4.3536346647405004,4.3650234885201504,4.3763397183619999
2005-01-12,1.99567931085965,2.1385147265424602,2.27077177939554,2.3881345898748099,2.4870160580512102,2.56659082842959,2.6299374759115599,2.6824415500463998,2.7288413890766199,2.7718810385720301,2.8127991840877899,2.85205356341053,2.8896911351071002,2.92567283822377,2.9600766849081301,2.9929553964380902,3.0241450182504601,3.0533623779882499,3.08040782420627,3.1052116576433999,3.1278349179054699,3.1485750202080598,3.1679998027671101,3.1866854564656402,3.2049300368258802,3.2227616765940899,3.2400783811212999,3.2567235512798298,3.2725456734543399,3.28751768376631,3.3018179289617202,3.3157510961920602,3.32960222881026,3.34358223208188,3.35785609025117,3.3725534314975301,3.38771590765284,3.4032435295838401,3.4189393294771202,3.4346192800256099,3.4501733377868402,3.4655575330898101,3.4807648617536899,3.4958008298475098,3.5106582923241998,3.5252951428474999,3.5396456761703399,3.55367326932739,3.5674230927845598,3.5810420132577301,3.5947630860896602,3.6088403774110098,3.6234168865578198,3.6383965759622101,3.6534686402883501,3.6683007889547299,3.68271684942976,3.6967099397759799,3.7103449933827601,3.7236879803913001,3.7368054327679499,3.74977056226468,3.76263506678985,3.7754103782423298,3.7880829332952302,3.8006342341300301,3.8130483680331801,3.8253121722896801,3.8374143945096302,3.8493454934396301,3.86109772850648,3.8726651566239201,3.8840434948168201,3.8952299668430599,3.9062232373233599,3.9170234589336599,3.9276323885174098,3.9380534926768802,3.9482919635223301,3.9583545914477201,3.96824948194178,3.9779856460252598,3.98757252957,3.9970195692877701,4.0063358701924399,4.0155300921422103,4.02461061524623,4.0335860289986298,4.0424659593144598,4.0512622095437996,4.05999014251831,4.0686701679812698,4.0773291247922403,4.0860012691824004,4.0947285187479601,4.1035595881889799,4.1125477268714699,4.12174696667795,4.1312071209947199,4.1409681933201101,4.1510552293097502,4.1614747956103102,4.1722140391792903,4.1832426663076596,4.1945173831244702,4.2059876901907902,4.2176016938367002,4.2293108348960899,4.2410729612229101,4.2528537141968696,4.2646265633622296,4.2763719527332702,4.2880759757347997,4.2997288720444802,4.3113235198538504,4.3228540220162204,4.3343144584328899,4.3456978819271299,4.3569956453855196,4.3681971424613399
2005-01-13,2.0570409221182699,2.18220903511979,2.29934828290419,2.4046282376228798,2.4947516692287501,2.5684799789608199,2.6277158408123,2.67659160247318,2.7191884211064901,2.7581766268591101,2.79494889647829,2.8301126413615401,2.8637915838665302,2.8959805186552399,2.9268621581768199,2.9567323397333398,2.9856851564872402,3.0135069708937201,3.0398258659594499,3.06425311281596,3.0864920278552002,3.1065556591872401,3.1249254317450599,3.1422927117157902,3.15912591581501,3.1755704442043098,3.1915942223950999,3.2071017158734199,3.2219940560091,3.2362470259590101,3.2499683912402202,3.2633555987593201,3.2766054599658099,3.2898811332368001,3.3033408108409499,3.31716682274,3.3315359537017399,3.3465279428453498,3.3620753524139499,3.3780171638006,3.3941697416625098,3.4103440264926701,3.42633349585086,3.44192286099398,3.4569344903303998,3.471273073911,3.48492739249326,3.4979569429588802,3.5104996440768002,3.5227875450302402,3.53514249087522,3.5479148367055902,3.56133436175744,3.5753464386671499,3.5896118329959399,3.6037261205235702,3.6174621343203301,3.6308183034905999,3.6438942555318699,3.6567659458930599,3.6694520779856998,3.6819474522643101,3.6942648117674,3.70644151998229,3.71851743939171,3.7305179292569499,3.74245188149259,3.7543162727957902,3.7661009402303498,3.77779203052576,3.7893742374911699,3.80083217855484,3.8121512185308601,3.8233179816821901,3.8343207201376299,3.84514962890001,3.85579712682169,3.8662580736194498,3.87652987363305,3.8866124262033401,3.89650791119819,3.9062204343665701,3.9157555903933599,3.9251200254200098,3.9343210935672501,3.9433667048408401,3.9522654564011201,3.9610271252093998,3.9696635738386998,3.9781900760565998,3.9866269971905099,3.9950016619615898,4.0033501135918304,4.0117183313130402,4.0201623675479601,4.0287468501547696,4.0375414389029096,4.0466151814398099,4.0560292723593703,4.0658293594772603,4.0760390248181997,4.0866561109054196,4.0976529999182798,4.1089808959931799,4.1205770138836701,4.1323728385229703,4.1443015840337099,4.1563035702095696,4.16832908964835,4.1803390674576404,4.1923041999054602,4.2042032984500404,4.21602139324317,4.2277479173465702,4.23937510314747,4.2508966166441402,4.2623064274028302,4.2735979320958997,4.28476338209407,4.2957936815966304
2005-01-14,2.0607263172592698,2.1953390988344199,2.3210107745444,2.4342584809534,2.5318583005931199,2.6121423371446899,2.6763723348613002,2.7285306068383299,2.7732608851607199,2.8139797877013799,2.8524833717865699,2.88942297953658,2.9248815910078498,2.95884312702501,2.9913891751388602,3.0225728114708899,3.0522620152147901,3.0802005794451301,3.1061415131559298,3.1298751173347599,3.1512785636562302,3.17053102147965,3.1882495549841501,3.2051842283245402,3.2217898320505598,3.2381777252219601,3.2542990085904999,3.2700659261806702,3.2854067905840401,3.3003330343087498,3.3149606551388802,3.3294278609247598,3.3438193117629602,3.3581722517783299,3.37250884948073,3.3868651360571498,3.4013082525774099,3.4159027596682501,3.4306557760905001,3.44552525641764,3.4604672371872001,3.4754495882360299,3.49042680905576,3.5052978393435801,3.5198771096798098,3.5339389566414701,3.54734004833829,3.5601126300293502,3.5724570766601,3.5846766019472902,3.5971036728299901,3.6100057028761299,3.6234583898419599,3.63726861384258,3.65106440979197,3.6645183032908402,3.6775090207786501,3.6900974148424801,3.70240038726863,3.7145113615495502,3.7265013709594199,3.7384339121557399,3.7503495622995699,3.7622532023545001,3.7741294907183902,3.7859613607951901,3.7977349683211399,3.8094377206944099,3.8210564833615401,3.83257737089993,3.8439863130709999,3.8552696356992699,3.8664143716294501,3.8774083128432499,3.88823990880881,3.89889811006524,3.9093722290617898,3.9196518799045998,3.92972707121287,3.9395885485713702,3.9492284923287202,3.9586416487646998,3.9678268902487699,3.9767890596572202,3.9855407772410101,3.9941037297840598,4.0025089109741403,4.0107954318100898,4.0190079036945301,4.0271929136120104,4.0353955159869299,4.0436566910084899,4.0520122756444996,4.0604931689664401,4.0691260420147204,4.0779336580929204,4.0869342693819304,4.0961401786706402,4.1055561268427496,4.1151784392126602,4.1249957236680999,4.13499138875643,4.1451475038744103,4.1554488439341899,4.16588569030018,4.1764543311405102,4.1871551392711401,4.1979891616316998,4.2089547559791303,4.2200456378316202,4.2312509066915096,4.2425566811608304,4.2539483411279404,4.2654122494902298,4.2769361498966001,4.2885080248139298,4.30011383178062,4.3117350038646398,4.3233467344619196,4.3349178071304397
